date,hotel_code,room_code,available,price,sampled,updated
2024-09-01,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-01,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CK1LH,3,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DK1A,1,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ1,1,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-02,GLLM,XQ1,1,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-03,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-04,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-05,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,SD1XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,SD1XXA,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,SQ1,0,276.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,SQ1U,0,257.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-06,GLLM,XQ1,0,812.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CD1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CD2,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CD2LA,0,217.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CD2TL,0,283.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CK1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CK1LHA,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CQ1,0,203.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CXQ1L,0,334.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,CXQ1LH,0,599.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,DK1A,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,DQ1,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,DQ1A,0,514.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,DQ2,0,597.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
2024-09-07,GLLM,SB2XX,0,140.0,2023-09-04 16:27:53.311380,2023-09-04 14:26:00
