date,hotel_code,room_code,available
2024-09-05,GLLM,CXQ1LH,0
2024-09-05,GLLM,DK1A,0
2024-09-05,GLLM,DQ1,0
2024-09-05,GLLM,DQ1A,0
2024-09-05,GLLM,DQ2,0
2024-09-05,GLLM,SB2XX,0
2024-09-05,GLLM,SD1XX,0
2024-09-05,GLLM,SD1XXA,0
2024-09-05,GLLM,SQ1,0
2024-09-05,GLLM,SQ1U,0
2024-09-05,GLLM,XQ1,0
2024-09-06,GLLM,CD1,0
2024-09-06,GLLM,CD2,0
2024-09-06,GLLM,CD2LA,0
2024-09-06,GLLM,CD2TL,0
2024-09-06,GLLM,CK1LH,0
2024-09-06,GLLM,CK1LHA,0
2024-09-06,GLLM,CQ1,0
2024-09-06,GLLM,CQ1LH,0
2024-09-06,GLLM,CXQ1L,0
2024-09-06,GLLM,CXQ1LH,0
2024-09-06,GLLM,DK1A,0
2024-09-06,GLLM,DQ1,0
2024-09-06,GLLM,DQ1A,0
2024-09-06,GLLM,DQ2,0
2024-09-06,GLLM,SB2XX,0
2024-09-06,GLLM,SD1XX,0
2024-09-06,GLLM,SD1XXA,0
2024-09-06,GLLM,SQ1,0
2024-09-06,GLLM,SQ1U,0
2024-09-06,GLLM,XQ1,0
2024-09-07,GLLM,CD1,0
2024-09-07,GLLM,CD2,0
2024-09-07,GLLM,CD2LA,0
2024-09-07,GLLM,CD2TL,0
2024-09-07,GLLM,CK1LH,0
2024-09-07,GLLM,CK1LHA,0
2024-09-07,GLLM,CQ1,0
2024-09-07,GLLM,CQ1LH,0
2024-09-07,GLLM,CXQ1L,0
2024-09-07,GLLM,CXQ1LH,0
2024-09-07,GLLM,DK1A,0
2024-09-07,GLLM,DQ1,0
2024-09-07,GLLM,DQ1A,0
2024-09-07,GLLM,DQ2,0
2024-09-07,GLLM,SB2XX,0
2024-09-07,GLLM,SD1XX,0
2024-09-07,GLLM,SD1XXA,0
2024-09-07,GLLM,SQ1,0
2024-09-07,GLLM,SQ1U,0
2024-09-07,GLLM,XQ1,0
2024-09-08,GLLM,CD1,0
2024-09-08,GLLM,CD2,0
2024-09-08,GLLM,CD2LA,0
2024-09-08,GLLM,CD2TL,0
2024-09-08,GLLM,CK1LH,0
2024-09-08,GLLM,CK1LHA,0
2024-09-08,GLLM,CQ1,0
2024-09-08,GLLM,CQ1LH,0
2024-09-08,GLLM,CXQ1L,0
2024-09-08,GLLM,CXQ1LH,0
2024-09-08,GLLM,DK1A,0
2024-09-08,GLLM,DQ1,0
2024-09-08,GLLM,DQ1A,0
2024-09-08,GLLM,DQ2,0
2024-09-08,GLLM,SB2XX,0
2024-09-08,GLLM,SD1XX,0
2024-09-08,GLLM,SD1XXA,0
2024-09-08,GLLM,SQ1,0
2024-09-08,GLLM,SQ1U,0
2024-09-08,GLLM,XQ1,0
2024-09-09,GLLM,CD1,0
2024-09-09,GLLM,CD2,0
2024-09-09,GLLM,CD2LA,0
2024-09-09,GLLM,CD2TL,0
2024-09-09,GLLM,CK1LH,0
2024-09-09,GLLM,CK1LHA,0
2024-09-09,GLLM,CQ1,0
2024-09-09,GLLM,CQ1LH,0
2024-09-09,GLLM,CXQ1L,0
2024-09-09,GLLM,CXQ1LH,0
2024-09-09,GLLM,DK1A,1
2024-09-09,GLLM,DQ1,0
2024-09-09,GLLM,DQ1A,0
2024-09-09,GLLM,DQ2,0
2024-09-09,GLLM,SB2XX,0
2024-09-09,GLLM,SD1XX,0
2024-09-09,GLLM,SD1XXA,0
2024-09-09,GLLM,SQ1,0
2024-09-09,GLLM,SQ1U,0
2024-09-09,GLLM,XQ1,0
2024-08-31,GLMG,DK1,0
2024-08-31,GLMG,DK1V,0
2024-08-31,GLMG,DK1Y,0
